,Country,2015 Happiness Score,2016 Happiness Score,2015 Mean PM2.5 (ug/m3),2016 Mean PM2.5 (ug/m3),Latitude,Longitude,2015 Air Pollution Deaths Per 100k,2016 Air Pollution Deaths Per 100k
62,Jamaica,5.709,5.51,15.12454409,15.07163593,18.109581,-77.297508,41.81,42.43
63,Cyprus,5.689,5.546,17.89852069,17.86639632,35.126413,33.429859,27.61,25.96
64,Algeria,5.605,6.355,37.03572791,37.23095588,28.033886,1.659626,44.36,44.54
65,Turkmenistan,5.547999999999999,5.658,37.30685938,37.74176129999999,38.969719,59.556278,69.73,67.36
66,Mauritius,5.477,5.648,14.43773911,14.46305346,-20.348404,57.55215200000001,49.7,49.17
67,Estonia,5.4289999999999985,5.517,6.044276117999999,5.928305245,58.595272,25.0136071,16.53,15.98
68,Indonesia,5.399,5.314,16.66132887,16.74598218,-0.789275,113.921327,69.33,67.61
69,Vietnam,5.36,5.061,26.39694417,26.28590641,14.058324,108.277199,63.14,61.47
70,Turkey,5.332000000000002,5.3889999999999985,37.15752608,37.25391764,38.963745,35.243322,49.71,47.88
71,Kyrgyzstan,5.2860000000000005,5.185,17.82394854,17.91030372,41.20438,74.766098,76.47,71.62
72,Nigeria,5.268,4.875,115.12399609999999,122.47844199999999,9.081999,8.675277,83.63,82.9
73,Bhutan,5.252999999999999,5.1960000000000015,55.80654396,55.79888972,27.514162,90.433601,77.37,74.55
74,Azerbaijan,5.2120000000000015,5.291,32.65922495,32.97762008,40.143105,47.576927,83.3,80.72
75,Pakistan,5.194,5.1320000000000014,75.08110491,75.75074243,30.375321,69.34511599999999,127.82,125.48
76,Jordan,5.192,5.303,37.25146683,37.21426017,37.09024,-95.712891,40.38,39.67
77,Montenegro,5.192,5.1610000000000005,20.47690348,20.35568996,42.708678,19.37439,49.04,47.89
78,China,5.14,5.245,56.40226181,56.33014796,35.86166,104.195397,78.25,74.71
79,Zambia,5.129,4.795,30.40264504,30.55029496,-13.133897,27.849332,102.52,100.57
80,Romania,5.124,5.528,18.99856264,19.06441498,45.943161,24.96676,42.26,40.8
81,Serbia,5.122999999999998,5.1770000000000005,18.9158635,18.84678891,44.016521,21.005859,68.17,63.99
82,Portugal,5.102,5.122999999999998,9.509145041,9.491198111000001,39.39987199999999,-8.224454,16.13,15.18
83,Latvia,5.098,5.56,14.83109746,14.58800713,56.879635,24.603189,35.64,34.83
84,Philippines,5.073,5.279,23.22725487,23.213494100000002,12.879721,121.774017,114.29,109.84
85,Morocco,5.013,5.151,25.224310100000004,25.41198462,31.791702,-7.092619999999999,68.38,68.43
86,Macedonia,5.007,5.121,32.26825562,31.92141254,41.608635,21.745275,51.44,50.37
87,Albania,4.959,4.655,14.7365482,14.63400837,41.153332,20.168331,42.3,41.02
88,Bosnia and Herzegovina,4.949,5.1629999999999985,39.53292557,39.27178089,43.915886,17.679076,60.88,58.98
89,Dominican Republic,4.885,5.155,23.03187392,23.69819597,18.735693,-70.162651,38.95,37.69
90,Laos,4.876,4.876,27.90868457,27.67258925,19.85627,102.495496,127.48,123.19
91,Mongolia,4.874,4.907,29.18883961,29.68500129,46.862496,103.846656,84.76,81.38
92,Greece,4.857,5.033,11.3746771,11.29831318,39.074208,21.824312,26.9,25.79
93,Lebanon,4.839,5.129,32.38107828,32.5648296,33.854721,35.862285,50.71,49.96
94,Hungary,4.8,5.145,24.43899041,24.57068163,47.162494,19.5033041,44.68,40.54
95,Honduras,4.788,4.871,29.80712654,29.49751121,15.199999,-86.241905,54.0,52.5
96,Tajikistan,4.7860000000000005,4.996,60.69744821,61.35430442,38.861034,71.276093,95.99,94.43
97,Tunisia,4.739,5.045,35.87427092,35.56567907,33.886917,9.537499,51.9,52.42
98,Bangladesh,4.694,4.643,100.32381459999999,101.0171569,23.684994,90.356331,113.3,109.4
99,Iran,4.686,4.813,48.62328795,48.95476643,32.427908,53.688046,47.21,46.64
100,Ukraine,4.681,4.324,19.21988923,19.20606229,48.379433,31.1655799,71.01,67.77
101,Iraq,4.677,4.575,72.28199895,73.25872705,33.223191,43.679291,46.31,43.94
102,South Africa,4.642,4.459,35.52228598,35.91247747,-30.559482,22.937506,65.66,63.01
103,Ghana,4.633,4.276,52.08164538,54.24258644,7.946527,-1.023194,111.14,109.09
104,Zimbabwe,4.61,4.1930000000000005,24.37178566,24.51303497,-19.015438,29.154857,132.75,128.69
105,Liberia,4.5710000000000015,3.622,16.7520359,17.33233534,6.428055,-9.429499000000002,117.01,115.23
106,India,4.565,4.404,75.58285651,75.80079116,20.593684,78.96288,136.35,134.64
107,Sudan,4.55,4.1389999999999985,76.0529344,77.72107205,12.862807,30.217636,100.55,97.37
108,Haiti,4.518,4.0280000000000005,23.61471928,23.54804717,18.971187,-72.285215,125.85,123.59
109,Nepal,4.5139999999999985,4.793,77.90664552,78.49713349,28.394857,84.12400799999999,136.43,134.88
110,Ethiopia,4.512,4.508,48.87739462,49.73530571,9.145000000000001,40.489673,93.58,90.64
111,Sierra Leone,4.507,4.635,40.53851836,42.13067105,8.460555,-11.779889,156.91,152.9
112,Mauritania,4.436,4.2010000000000005,121.2563791,123.63458440000001,21.00789,-10.940835,87.45,85.22
113,Kenya,4.419,4.356,16.27427954,16.29493079,-0.023559,37.906193,93.82,92.05
114,Armenia,4.35,4.36,27.13203707,26.97289332,40.069099,45.038189,67.16,64.86
