,Country,2015 Happiness Rank,2015 Happiness Score,2016 Happiness Rank,2016 Happiness Score,2015 Air Pollution Deaths Per 100k,2016 Air Pollution Deaths Per 100k
56,Peru,58,5.824,64,5.742999999999999,32.11,31.01
57,Belarus,59,5.813,61,5.8020000000000005,52.69,50.79
58,Poland,60,5.791,57,5.835,37.18,35.09
59,Malaysia,61,5.77,47,6.005,52.56,49.78
60,Croatia,62,5.7589999999999995,74,5.4879999999999995,37.54,34.24
61,Libya,63,5.754,67,5.615,70.57,71.89
62,Russia,64,5.716,56,5.856,46.08,43.76
63,Jamaica,65,5.709,73,5.51,41.81,42.43
64,Cyprus,67,5.689,69,5.546,27.61,25.96
65,Algeria,68,5.605,38,6.355,44.36,44.54
66,Turkmenistan,70,5.547999999999999,65,5.6579999999999995,69.73,67.36
67,Mauritius,71,5.477,66,5.648,49.7,49.17
68,Estonia,73,5.428999999999999,72,5.517,16.53,15.98
69,Indonesia,74,5.399,79,5.314,69.33,67.61
70,Vietnam,75,5.36,96,5.061,63.14,61.47
71,Turkey,76,5.332000000000001,78,5.388999999999999,49.71,47.88
72,Kyrgyzstan,77,5.2860000000000005,85,5.185,76.47,71.62
73,Nigeria,78,5.268,103,4.875,83.63,82.9
74,Bhutan,79,5.252999999999999,84,5.196000000000001,77.37,74.55
75,Azerbaijan,80,5.212000000000001,81,5.291,83.3,80.72
76,Pakistan,81,5.194,92,5.132000000000001,127.82,125.48
77,Jordan,82,5.192,80,5.303,40.38,39.67
78,Montenegro,82,5.192,88,5.1610000000000005,49.04,47.89
79,China,84,5.14,83,5.245,78.25,74.71
80,Zambia,85,5.129,106,4.795,102.52,100.57
81,Romania,86,5.124,71,5.528,42.26,40.8
82,Serbia,87,5.122999999999999,86,5.1770000000000005,68.17,63.99
83,Portugal,88,5.102,94,5.122999999999999,16.13,15.18
84,Latvia,89,5.098,68,5.56,35.64,34.83
85,Philippines,90,5.073,82,5.279,114.29,109.84
86,Morocco,92,5.013,90,5.151,68.38,68.43
87,Macedonia,93,5.007,95,5.121,51.44,50.37
88,Albania,95,4.959,109,4.655,42.3,41.02
89,Bosnia and Herzegovina,96,4.949,87,5.162999999999999,60.88,58.98
90,Dominican Republic,98,4.885,89,5.155,38.95,37.69
91,Laos,99,4.876,102,4.876,127.48,123.19
92,Mongolia,100,4.874,101,4.907,84.76,81.38
93,Greece,102,4.857,99,5.033,26.9,25.79
94,Lebanon,103,4.8389999999999995,93,5.129,50.71,49.96
95,Hungary,104,4.8,91,5.145,44.68,40.54
96,Honduras,105,4.788,104,4.871,54.0,52.5
97,Tajikistan,106,4.7860000000000005,100,4.996,95.99,94.43
98,Tunisia,107,4.739,98,5.045,51.9,52.42
99,Bangladesh,109,4.694,110,4.643,113.3,109.4
100,Iran,110,4.686,105,4.813,47.21,46.64
101,Ukraine,111,4.681,123,4.324,71.01,67.77
102,Iraq,112,4.677,112,4.575,46.31,43.94
103,South Africa,113,4.6419999999999995,116,4.459,65.66,63.01
104,Ghana,114,4.633,124,4.276,111.14,109.09
105,Zimbabwe,115,4.61,131,4.1930000000000005,132.75,128.69
106,Liberia,116,4.571000000000001,150,3.622,117.01,115.23
107,India,117,4.565,118,4.404,136.35,134.64
108,Sudan,118,4.55,133,4.138999999999999,100.55,97.37
109,Haiti,119,4.518,136,4.0280000000000005,125.85,123.59
110,Nepal,121,4.513999999999999,107,4.793,136.43,134.88
111,Ethiopia,122,4.512,115,4.508,93.58,90.64
112,Sierra Leone,123,4.507,111,4.635,156.91,152.9
113,Mauritania,124,4.436,130,4.2010000000000005,87.45,85.22
