Country,2015 Happiness Rank,2015 Happiness Score,2016 Happiness Rank,2016 Happiness Score,2015 Air Pollution Deaths Per 100k,2016 Air Pollution Deaths Per 100k,Latitude,Longitude
Montenegro,82,5.192,88,5.1610000000000005,49.04,47.89,42.708678,19.37439
China,84,5.14,83,5.245,78.25,74.71,35.86166,104.195397
Zambia,85,5.129,106,4.795,102.52,100.57,-13.133897,27.849332
Romania,86,5.124,71,5.528,42.26,40.8,45.943161,24.96676
Serbia,87,5.122999999999999,86,5.1770000000000005,68.17,63.99,44.016521,21.005859
Portugal,88,5.102,94,5.122999999999999,16.13,15.18,39.39987199999999,-8.224454
Latvia,89,5.098,68,5.56,35.64,34.83,56.879635,24.603189
Philippines,90,5.073,82,5.279,114.29,109.84,12.879721,121.774017
Morocco,92,5.013,90,5.151,68.38,68.43,31.791702,-7.092619999999999
Macedonia,93,5.007,95,5.121,51.44,50.37,41.608635,21.745275
Albania,95,4.959,109,4.655,42.3,41.02,41.153332,20.168331
Bosnia and Herzegovina,96,4.949,87,5.162999999999999,60.88,58.98,43.915886,17.679076
Dominican Republic,98,4.885,89,5.155,38.95,37.69,18.735693,-70.162651
Laos,99,4.876,102,4.876,127.48,123.19,19.85627,102.495496
Mongolia,100,4.874,101,4.907,84.76,81.38,46.862496,103.846656
Greece,102,4.857,99,5.033,26.9,25.79,39.074208,21.824312
Lebanon,103,4.8389999999999995,93,5.129,50.71,49.96,33.854721,35.862285
Hungary,104,4.8,91,5.145,44.68,40.54,47.162494,19.5033041
Honduras,105,4.788,104,4.871,54.0,52.5,15.199999,-86.241905
Tajikistan,106,4.7860000000000005,100,4.996,95.99,94.43,38.861034,71.276093
Tunisia,107,4.739,98,5.045,51.9,52.42,33.886917,9.537499
Bangladesh,109,4.694,110,4.643,113.3,109.4,23.684994,90.356331
Iran,110,4.686,105,4.813,47.21,46.64,32.427908,53.688046
Ukraine,111,4.681,123,4.324,71.01,67.77,48.379433,31.1655799
Iraq,112,4.677,112,4.575,46.31,43.94,33.223191,43.679291
South Africa,113,4.6419999999999995,116,4.459,65.66,63.01,-30.559482,22.937506
Ghana,114,4.633,124,4.276,111.14,109.09,7.946527,-1.023194
Zimbabwe,115,4.61,131,4.1930000000000005,132.75,128.69,-19.015438,29.154857
Liberia,116,4.571000000000001,150,3.622,117.01,115.23,6.428055,-9.429499000000002
India,117,4.565,118,4.404,136.35,134.64,20.593684,78.96288
Sudan,118,4.55,133,4.138999999999999,100.55,97.37,12.862807,30.217636
Haiti,119,4.518,136,4.0280000000000005,125.85,123.59,18.971187,-72.285215
Nepal,121,4.513999999999999,107,4.793,136.43,134.88,28.394857,84.12400799999999
Ethiopia,122,4.512,115,4.508,93.58,90.64,9.145000000000001,40.489673
Sierra Leone,123,4.507,111,4.635,156.91,152.9,8.460555,-11.779889
Mauritania,124,4.436,130,4.2010000000000005,87.45,85.22,21.00789,-10.940835
Kenya,125,4.419,122,4.356,93.82,92.05,-0.023559,37.906193
Armenia,127,4.35,121,4.36,67.16,64.86,40.069099,45.038189
Botswana,128,4.332,137,3.9739999999999998,75.07,72.0,-22.328474,24.684866
Myanmar,129,4.3069999999999995,119,4.395,123.97,120.87,21.916221,95.955974
Georgia,130,4.297,126,4.252,69.46,70.04,32.1656221,-82.9000751
Malawi,131,4.292,132,4.156000000000001,109.0,106.87,-13.254308,34.301525
Sri Lanka,132,4.271,117,4.415,52.57,43.27,7.873053999999999,80.77179699999999
Cameroon,133,4.252,114,4.513,122.51,118.33,7.369721999999999,12.354722
Bulgaria,134,4.218,129,4.217,53.67,51.78,42.733883,25.48583
Egypt,135,4.194,120,4.362,115.05,114.11,26.820553,30.802498
Yemen,136,4.077,147,3.7239999999999998,99.42,97.02,15.552727,48.516388
Angola,137,4.033,141,3.866,100.24,97.12,-11.202692,17.873887
Mali,138,3.995,135,4.073,107.98,108.83,17.570692,-3.996166
Comoros,140,3.9560000000000004,138,3.9560000000000004,97.49,95.46,-11.6455,43.3333
Uganda,141,3.931,145,3.739,97.85,95.54,1.373333,32.290275
Senegal,142,3.904,128,4.218999999999999,108.66,107.07,14.497401,-14.452362
Gabon,143,3.8960000000000004,134,4.121,74.19,72.87,-0.803689,11.609444
Niger,144,3.845,142,3.8560000000000003,140.95,140.37,17.607789,8.081666
Cambodia,145,3.819,140,3.907,111.89,109.49,12.565679,104.990963
Tanzania,146,3.781,149,3.6660000000000004,99.15,97.67,-6.369028,34.888822
Madagascar,147,3.681,148,3.695,160.59,157.44,-18.766947,46.869107
Chad,149,3.667,144,3.763,163.49,161.38,15.454166,18.732207
Guinea,150,3.656,151,3.6069999999999998,167.47,163.77,9.945587,-9.696645
Burkina Faso,152,3.5869999999999997,145,3.739,137.96,136.0,12.238333,-1.561593
Afghanistan,153,3.575,154,3.36,191.8,186.67,33.93911,67.709953
Rwanda,154,3.465,152,3.515,100.56,98.5,-1.940278,29.873888
Benin,155,3.34,153,3.484,119.29,115.81,9.30769,2.315834
Syria,156,3.0060000000000002,156,3.069,65.14,64.84,34.80207499999999,38.996815
Burundi,157,2.905,157,2.905,146.91,144.36,-3.373056,29.918886
Togo,158,2.839,155,3.303,121.15,118.16,8.619543,0.824782
